         [16/10/2023 13:42:14]       INFO: Server  transitioned from old state 0 via transition edge 101 to new state 3
[16/10/2023 13:42:14]       INFO: Reading data from data set and constructing synthetic queries...
[16/10/2023 13:42:15]       INFO: Sampling Rate for Data File is 15, numLines 1.59607e+07
[16/10/2023 13:42:15]       INFO: Column 0 - ipv 
[16/10/2023 13:42:15]       INFO: Column 1 - ip 
[16/10/2023 13:42:15]       INFO: Column 2 - port 
[16/10/2023 13:42:15]       INFO: Column 3 - proto 
[16/10/2023 13:42:15]       INFO: Column 4 - entry_type 
[16/10/2023 13:42:15]       INFO: Column 5 - peer 
[16/10/2023 13:42:15]       INFO: Column 6 - cid 
[16/10/2023 13:42:15]       INFO: Column 7 - ts 
[16/10/2023 13:42:25]       INFO: Column 0 - min 4, max 6
[16/10/2023 13:42:25]       INFO: Column 1 - min 0, max 906
[16/10/2023 13:42:25]       INFO: Column 2 - min 0, max 65535
[16/10/2023 13:42:25]       INFO: Column 3 - min 0, max 3
[16/10/2023 13:42:25]       INFO: Column 4 - min 0, max 2
[16/10/2023 13:42:25]       INFO: Column 5 - min 0, max 1139
[16/10/2023 13:42:25]       INFO: Column 6 - min 0, max 4928637
[16/10/2023 13:42:25]       INFO: Column 7 - min 1695067808, max 1695071357
[16/10/2023 13:42:25]       INFO: Generated Queries aim to provide certain levels of query senstivity. (MANAGE_SENSITIVITY is true.)
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0099 (10395 datapoints). Num Generated Queries 1/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]      ERROR: End of list of values reached.
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0030 (3137 datapoints). Num Generated Queries 2/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0298 (31263 datapoints). Num Generated Queries 3/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0397 (41660 datapoints). Num Generated Queries 4/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0496 (52026 datapoints). Num Generated Queries 5/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0594 (62333 datapoints). Num Generated Queries 6/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0695 (72861 datapoints). Num Generated Queries 7/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]      ERROR: End of list of values reached.
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0010 (1066 datapoints). Num Generated Queries 8/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0893 (93653 datapoints). Num Generated Queries 9/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0101 (10609 datapoints). Num Generated Queries 10/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0199 (20876 datapoints). Num Generated Queries 11/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0299 (31339 datapoints). Num Generated Queries 12/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0397 (41659 datapoints). Num Generated Queries 13/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0497 (52125 datapoints). Num Generated Queries 14/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0595 (62395 datapoints). Num Generated Queries 15/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0694 (72785 datapoints). Num Generated Queries 16/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0793 (83147 datapoints). Num Generated Queries 17/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]      ERROR: End of list of values reached.
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0650 (68154 datapoints). Num Generated Queries 18/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0102 (10723 datapoints). Num Generated Queries 19/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0199 (20889 datapoints). Num Generated Queries 20/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0298 (31200 datapoints). Num Generated Queries 21/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0397 (41627 datapoints). Num Generated Queries 22/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
[16/10/2023 13:42:25]       INFO: Adding Query with selectivity 0.0498 (52172 datapoints). Num Generated Queries 23/1000
[16/10/2023 13:42:25]       INFO: Iteration 0
